# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 17:12:35 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN st_teff:        Stellar Effective Temperature [K]
#
pl_name,pl_orbsmax,st_teff
EPIC 212587672 c,,6004.00
EPIC 212624936 b,,5765.00
EPIC 212624936 c,,5765.00
EPIC 212737443 b,0.0980000000,4684.00
EPIC 212737443 c,0.2800000000,4684.00
EPIC 220492298 b,,5620.00
EPIC 220554210 c,,5499.00
EPIC 220674823 b,0.0132000000,5578.00
EPIC 220674823 c,0.1078000000,5578.00
EPIC 228836835 b,,3782.00
EPIC 229004835 b,0.1237000000,5868.00
EPIC 246851721 b,0.0722900000,6202.00
EPIC 248847494 b,4.5000000000,4898.00
EPIC 249893012 b,0.0470000000,5430.00
EPIC 249893012 c,0.1300000000,5430.00
EPIC 249893012 d,0.2200000000,5430.00
FU Tau b,800.0000000000,2838.00
G 192-15 b,0.0172300000,2999.00
G 192-15 c,1.1370000000,2999.00
G 196-3 b,350.0000000000,3517.00
G 261-6 b,0.0297100000,2907.00
G 264-012 b,0.0227900000,3326.00
G 264-012 c,0.0525000000,3326.00
G 268-110 b,0.0128300000,
G 9-40 b,0.0418000000,3395.00
GJ 1002 b,0.0457000000,3024.00
GJ 1002 c,0.0738000000,3024.00
GJ 1061 b,0.0210000000,2953.00
GJ 1061 c,0.0342000000,2953.00
GJ 1061 d,0.0540000000,2953.00
GJ 1132 b,0.0157000000,3229.00
GJ 1132 c,0.0476000000,3270.00
GJ 1148 b,0.1660000000,3287.00
GJ 1148 c,0.9120000000,3287.00
GJ 1151 c,0.5714000000,3280.00
GJ 1214 b,0.0150500000,3101.00
GJ 1252 b,0.0091500000,3458.00
GJ 1265 b,0.0260000000,3236.00
GJ 1289 b,0.2700000000,3296.00
GJ 143 b,0.1915000000,4640.00
GJ 15 A b,0.0720000000,3607.00
GJ 15 A c,5.4000000000,3607.00
GJ 160.2 b,0.0530000000,4347.00
GJ 163 b,0.0607000000,3500.00
GJ 163 c,0.1254000000,3500.00
GJ 163 d,1.0304000000,3500.00
GJ 179 b,2.4100000000,3370.00
GJ 180 b,0.0920000000,3371.00
GJ 180 c,0.1290000000,3371.00
GJ 180 d,0.3090000000,3371.00
GJ 2030 b,0.0340000000,5485.00
GJ 2030 c,16.7610000000,5485.00
GJ 2056 b,0.2830000000,4069.95
GJ 2126 b,0.7100000000,4159.00
GJ 229 A c,0.3840000000,3564.00
GJ 229 b,1.0860000000,3564.00
GJ 238 b,0.0212300000,3485.00
GJ 251 b,0.0808000000,3342.00
GJ 251 c,0.1960000000,3342.00
GJ 27.1 b,0.1010000000,3542.00
GJ 273 b,0.0911010000,3382.00
GJ 273 c,0.0364670000,3382.00
GJ 3021 b,0.4900000000,5540.00
GJ 3082 b,0.0790000000,3910.00
GJ 3090 b,0.0316000000,3707.00
GJ 3090 c,0.0997000000,3707.00
GJ 3138 b,0.0197000000,3717.00
GJ 3138 c,0.0570000000,3717.00
GJ 3138 d,0.6980000000,3717.00
GJ 317 b,1.1380000000,3496.00
GJ 317 c,5.0400000000,3496.00
GJ 3222 b,0.0910000000,5257.46
GJ 328 b,4.1100000000,3897.00
GJ 328 c,0.6570000000,3897.00
GJ 3293 b,0.1433900000,3466.00
GJ 3293 c,0.3617500000,3466.00
GJ 3293 d,0.1939400000,3466.00
GJ 3293 e,0.0820800000,3466.00
GJ 3323 b,0.0328200000,3159.00
GJ 3323 c,0.1264000000,3159.00
GJ 3341 b,0.0890000000,3526.00
GJ 338 B b,0.1420000000,4014.00
GJ 341 b,,3770.00
GJ 3470 b,0.0355000000,3600.00
GJ 3473 b,0.0158900000,3347.00
GJ 3473 c,0.0876000000,3347.00
GJ 3512 b,0.3376000000,3141.00
GJ 3512 c,1.7310000000,3141.00
GJ 357 b,0.0360000000,3505.00
GJ 357 c,0.0610000000,3505.00
GJ 357 d,0.2040000000,3505.00
GJ 3634 b,0.0287000000,3517.00
GJ 367 b,0.0070900000,3522.00
GJ 367 c,,3522.00
GJ 367 d,,3522.00
GJ 3779 b,0.0260000000,3324.00
GJ 3929 b,0.0252000000,3384.00
GJ 3929 c,0.0810000000,3384.00
GJ 393 b,0.0540200000,3579.00
GJ 3942 b,0.0608000000,3867.00
GJ 3988 b,0.0405000000,3273.00
GJ 3998 b,0.0300000000,3726.00
GJ 3998 c,0.0900000000,3726.00
GJ 3998 d,0.1890000000,3726.00
GJ 411 b,0.0787900000,3719.00
GJ 414 A b,0.2324000000,4120.00
GJ 414 A c,1.4000000000,4120.00
GJ 422 b,0.1110000000,3323.00
GJ 4274 b,0.0153000000,3228.00
GJ 4274 c,0.1860000000,3228.00
GJ 4276 b,0.0820000000,3387.00
GJ 433 b,0.0620000000,3461.00
GJ 433 c,4.8190000000,3461.00
GJ 433 d,0.1780000000,3461.00
GJ 436 b,0.0291000000,3586.11
GJ 463 b,3.5300000000,3563.00
GJ 480 b,0.0680000000,3509.00
GJ 486 b,0.0171400000,3317.00
GJ 504 b,43.5000000000,6234.00
GJ 508.2 b,4.8500000000,3720.00
GJ 514 b,0.4220000000,3728.00
GJ 536 b,0.0668000000,3641.00
GJ 536 c,0.1617000000,3641.00
GJ 581 b,0.0399000000,3500.00
GJ 581 c,0.0718000000,3500.00
GJ 581 e,0.0279900000,3500.00
GJ 625 b,0.0783610000,3499.00
GJ 649 b,1.1120000000,3734.00
GJ 667 C b,0.0504310000,3350.00
GJ 667 C c,0.1250000000,3350.00
GJ 667 C e,0.2130000000,3350.00
GJ 667 C f,0.1560000000,3350.00
GJ 667 C g,0.5490000000,3350.00
GJ 674 b,0.0390000000,3600.00
GJ 676 A b,1.7350000000,3734.00
GJ 676 A c,9.7260000000,3734.00
GJ 676 A d,0.0390000000,3734.00
GJ 676 A e,0.1810000000,3734.00
GJ 680 b,10.1380000000,3563.00
GJ 682 b,0.0800000000,3028.00
GJ 682 c,0.1760000000,3028.00
GJ 685 b,0.1344000000,3816.00
GJ 687 b,0.1630000000,3413.00
GJ 687 c,1.1650000000,3413.00
GJ 720 A b,0.1190000000,3837.00
GJ 724 b,0.0468500000,3799.00
GJ 740 b,0.0290000000,3913.00
GJ 806 b,0.0140600000,3600.00
GJ 806 c,0.0523000000,3600.00
GJ 832 b,3.7000000000,3472.00
GJ 849 b,2.3200000000,3467.00
GJ 849 c,4.9500000000,3467.00
GJ 86 b,0.1100000000,5182.00
GJ 876 b,0.2083170000,3293.74
GJ 876 c,0.1295900000,3293.74
GJ 876 d,0.0208066500,3293.74
GJ 876 e,0.3343000000,3293.74
GJ 887 b,0.0683000000,3688.00
GJ 887 c,0.1210000000,3688.00
GJ 887 d,0.2120000000,3688.00
GJ 887 e,0.0417000000,3688.00
GJ 896 A b,0.6396500000,3345.00
GJ 900 b,12000.0000000000,3976.00
GJ 9066 c,0.8800000000,3154.00
GJ 9404 b,0.0943000000,3811.00
GJ 96 b,0.2910000000,3785.00
GJ 9689 b,0.1139000000,3836.00
GJ 9714 b,12.3190000000,4263.00
GJ 9773 b,2.9210000000,3528.00
GJ 9827 b,0.0189000000,4236.00
GJ 9827 c,0.0395000000,4236.00
GJ 9827 d,0.0530000000,4236.00
GPX-1 b,0.0338000000,7000.00
GQ Lup b,100.0000000000,4360.00
GSC 06214-00210 b,320.0000000000,4200.00
GU Psc b,2000.0000000000,4031.81
Gaia-1 b,0.0404700000,5470.00
Gaia-2 b,0.0467000000,5720.00
Gaia-4 b,,4034.00
Gaia-5 b,,3447.00
Gaia22dkvL b,1.4000000000,
Gl 378 b,0.0394350000,3879.00
Gl 410 b,0.0531000000,3842.00
Gl 49 b,0.0905000000,3805.00
Gl 686 b,0.0910000000,3656.00
Gl 725 A b,0.0680000000,3433.00
Gliese 12 b,0.0670000000,3328.00
HAT-P-1 b,0.0556100000,5980.00
HAT-P-11 b,0.0525800000,4653.00
HAT-P-11 c,4.1000000000,4653.00
HAT-P-12 b,0.0384000000,4650.00
HAT-P-13 b,0.0438300000,5653.00
HAT-P-13 c,1.2580000000,5653.00
HAT-P-14 b,0.0596000000,6600.00
HAT-P-15 b,0.0965000000,5568.00
HAT-P-16 b,0.0413000000,6140.00
HAT-P-17 b,0.0892000000,5246.00
HAT-P-17 c,5.6000000000,5336.96
HAT-P-18 b,0.0559000000,4803.00
HAT-P-19 b,0.0459900000,4962.00
HAT-P-2 b,0.0681400000,6380.00
HAT-P-2 c,,6412.00
HAT-P-20 b,0.0361000000,4595.00
HAT-P-21 b,0.0503700000,5588.00
HAT-P-22 b,0.0414000000,5302.00
HAT-P-23 b,0.0232000000,5905.00
HAT-P-24 b,0.0465100000,6373.00
HAT-P-25 b,0.0466000000,5519.00
HAT-P-26 b,0.0474800000,5079.00
HAT-P-27 b,0.0400000000,5316.00
HAT-P-28 b,0.0434000000,5680.00
HAT-P-29 b,0.0667000000,6087.00
HAT-P-3 b,0.0386600000,5185.00
HAT-P-30 b,0.0419000000,6304.00
HAT-P-31 b,0.0610000000,6065.00
HAT-P-32 b,0.0339700000,6001.00
HAT-P-33 b,0.0499500000,6446.00
HAT-P-34 b,0.0677400000,6442.00
HAT-P-35 b,0.0497800000,6096.00
HAT-P-36 b,0.0241000000,5620.00
HAT-P-37 b,0.0379000000,5500.00
HAT-P-38 b,0.0523000000,5330.00
HAT-P-39 b,0.0509000000,6430.00
HAT-P-4 b,0.0443800000,5860.00
HAT-P-40 b,0.0608000000,6080.00
HAT-P-41 b,0.0425800000,6390.00
HAT-P-42 b,0.0575000000,5743.00
HAT-P-43 b,0.0444000000,5693.00
HAT-P-44 b,0.0507000000,5295.00
HAT-P-44 c,1.7520000000,5295.00
HAT-P-45 b,0.0452000000,6330.00
HAT-P-46 b,0.0577000000,6120.00
HAT-P-49 b,0.0437800000,6820.00
HAT-P-5 b,0.0407300000,5960.00
HAT-P-50 b,0.0453000000,6280.00
HAT-P-51 b,0.0504200000,5453.00
HAT-P-52 b,0.0369400000,5131.00
HAT-P-53 b,0.0315900000,5956.00
HAT-P-54 b,0.0411700000,4390.00
HAT-P-55 b,0.0462800000,5804.00
HAT-P-56 b,0.0423000000,6566.00
HAT-P-57 b,0.0406000000,6330.00
HAT-P-58 b,0.0499400000,6078.00
HAT-P-59 b,0.0506400000,5678.00
HAT-P-6 b,0.0523900000,6570.00
HAT-P-60 b,0.0627700000,6212.00
HAT-P-61 b,0.0301000000,5587.00
HAT-P-62 b,0.0377200000,5629.00
HAT-P-63 b,0.0429400000,5400.00
HAT-P-64 b,0.0538700000,6457.00
HAT-P-65 b,0.0404200000,5872.00
HAT-P-66 b,0.0436300000,6002.00
HAT-P-67 b,0.0650500000,6640.00
HAT-P-68 b,0.0299600000,4508.00
HAT-P-69 b,0.0655500000,7394.00
HAT-P-7 b,0.0380900000,6389.00
HAT-P-70 b,0.0473900000,8450.00
HAT-P-8 b,0.0449600000,6200.00
HAT-P-9 b,0.0528700000,6350.00
HATS-1 b,0.0444000000,5870.00
HATS-10 b,0.0449100000,5880.00
HATS-11 b,0.0507000000,6563.00
HATS-12 b,0.0441000000,6357.00
HATS-13 b,0.0405700000,5523.00
HATS-14 b,0.0381500000,5346.00
HATS-15 b,0.0271200000,5311.00
HATS-16 b,0.0374400000,5738.00
HATS-17 b,0.1308000000,5846.00
HATS-18 b,0.0174000000,5600.00
HATS-2 b,0.0231700000,5227.00
HATS-22 b,0.0502500000,4803.00
HATS-23 b,0.0339700000,5780.00
HATS-24 b,0.0238000000,6125.00
HATS-25 b,0.0516300000,5715.00
HATS-26 b,0.0473500000,6071.00
HATS-27 b,0.0611000000,6438.00
HATS-28 b,0.0413100000,5498.00
HATS-29 b,0.0547500000,5670.00
HATS-3 b,0.0485000000,6351.00
HATS-30 b,0.0435400000,5943.00
HATS-31 b,0.0478000000,6050.00
HATS-32 b,0.0402400000,5700.00
HATS-33 b,0.0372700000,5659.00
HATS-34 b,0.0316600000,5380.00
HATS-35 b,0.0319900000,6300.00
HATS-36 b,0.0523000000,5950.00
HATS-37 A b,0.0491300000,5326.00
HATS-38 b,0.0503600000,5732.00
HATS-39 b,0.0600700000,6572.00
HATS-4 b,0.0362000000,5403.00
HATS-40 b,0.0499700000,6460.00
HATS-41 b,0.0583000000,6424.00
HATS-42 b,0.0368900000,6060.00
HATS-43 b,0.0494400000,5099.00
HATS-44 b,0.0364900000,5080.00
HATS-45 b,0.0551100000,6450.00
HATS-46 b,0.0536700000,5495.00
HATS-47 b,0.0426900000,4512.00
HATS-48 A b,0.0376900000,4546.00
HATS-49 b,0.0451500000,4405.00
HATS-5 b,0.0542000000,5304.00
HATS-50 b,0.0504600000,5990.00
HATS-51 b,0.0463900000,5758.00
HATS-52 b,0.0249800000,6010.00
HATS-53 b,0.0475300000,5644.00
HATS-54 b,0.0370000000,5621.00
HATS-55 b,0.0541200000,6214.00
HATS-56 b,0.0604300000,6536.00
HATS-57 b,0.0349300000,5587.00
HATS-58 A b,0.0579800000,7175.00
HATS-59 b,0.0611200000,5670.00
HATS-59 c,2.5040000000,5670.00
HATS-6 b,0.0362300000,3724.00
HATS-60 b,0.0470800000,5688.00
HATS-61 b,0.0790800000,5542.00
HATS-62 b,0.0416300000,5416.00
HATS-63 b,0.0402600000,5627.00
HATS-64 b,0.0656200000,6554.00
HATS-65 b,0.0449700000,6277.00
HATS-66 b,0.0471400000,6626.00
HATS-67 b,0.0303200000,6594.00
HATS-68 b,0.0507100000,6147.00
HATS-69 b,0.0321100000,5137.00
HATS-7 b,0.0401200000,4985.00
HATS-70 b,0.0363200000,7930.00
HATS-71 b,0.0374500000,3405.00
HATS-72 b,0.0665170000,4656.10
HATS-74 A b,0.0238400000,3776.90
HATS-75 b,0.0327420000,3790.40
HATS-76 b,0.0265800000,4016.00
HATS-77 b,0.0360700000,4071.00
HATS-8 b,0.0466700000,5679.00
HATS-9 b,0.0312000000,5599.00
HD 100508 b,6.1100000000,5419.00
HD 100546 b,53.0000000000,10500.00
HD 100655 b,0.6800000000,4891.00
HD 100777 b,1.0600000000,5533.00
HD 101581 b,0.0460000000,4675.00
HD 101581 c,0.0573000000,4675.00
HD 10180 c,0.0641200000,5911.00
HD 10180 d,0.1285900000,5911.00
HD 10180 e,0.2699000000,5911.00
HD 10180 f,0.4929000000,5911.00
HD 10180 g,1.4270000000,5911.00
HD 10180 h,3.3810000000,5911.00
HD 101930 b,0.3000000000,5108.00
HD 102117 b,0.1500000000,5655.00
HD 102195 b,0.0500000000,5301.00
HD 102272 b,0.5100000000,4790.00
HD 102329 b,1.8100000000,4745.00
HD 102329 c,,4830.00
HD 102843 b,4.0740000000,5436.00
HD 102888 b,1.0500000000,4990.00
HD 102956 b,0.0807000000,4985.00
HD 103197 b,0.2500000000,5250.00
HD 103720 b,0.0498000000,5017.00
HD 103774 b,0.0700000000,6489.00
HD 103891 b,3.2700000000,6072.00
HD 103949 b,0.4390000000,4792.00
HD 104067 b,0.2674000000,4952.00
HD 104067 c,0.1058000000,4952.00
HD 10442 b,2.0100000000,4912.00
HD 104985 b,0.7150000000,4738.00
HD 105618 b,0.0910000000,5671.00
HD 105618 c,35.7310000000,5671.00
HD 105779 b,3.3800000000,5792.00
HD 106252 b,2.6550000000,5874.00
HD 106270 b,3.3400000000,5509.00
HD 106315 b,0.0907000000,6327.00
HD 106315 c,0.1536000000,6327.00
HD 10647 b,2.0150000000,6218.00
HD 106515 A b,4.4800000000,5362.00
HD 106906 b,650.0000000000,6516.00
HD 10697 b,2.0510000000,5641.00
HD 107148 b,0.2690000000,5797.00
HD 107148 c,0.1407000000,5752.92
HD 108147 b,0.1020000000,6255.73
HD 108202 b,3.7000000000,4556.03
HD 108236 b,0.0452700000,5660.00
HD 108236 c,0.0620000000,5660.00
HD 108236 e,0.1367000000,5660.00
HD 108236 f,0.1758000000,5660.00
HD 108341 b,2.0000000000,5122.00
HD 108863 b,1.3200000000,4878.00
HD 108874 b,1.0400000000,5600.00
HD 108874 c,2.6590000000,5551.00
HD 109246 b,0.3300000000,5844.00
HD 109271 b,0.0790000000,5783.00
HD 109271 c,0.1960000000,5783.00
HD 109286 b,1.2590000000,5694.00
HD 109749 b,0.0615000000,5824.00
HD 10975 b,0.9500000000,4840.00
HD 109833 b,,5881.00
HD 109833 c,,5881.00
HD 109988 b,12.5180000000,5185.97
HD 110014 b,2.1400000000,4445.00
HD 110067 b,0.0793000000,5266.00
HD 110067 c,0.1039000000,5266.00
HD 110067 d,0.1362000000,5266.00
HD 110067 e,0.1785000000,5266.00
HD 110067 f,0.2163000000,5266.00
HD 110067 g,0.2621000000,5266.00
HD 110082 b,0.1130000000,6200.00
HD 110113 b,0.0350000000,5732.00
HD 110113 c,0.0680000000,5732.00
HD 110537 b,16.7140000000,5718.00
HD 11112 b,13.3800000000,5905.64
HD 111232 b,2.1480000000,5512.00
HD 111232 c,17.2500000000,5512.00
HD 111591 b,2.5000000000,4884.00
HD 111998 b,1.9100000000,6557.00
HD 112300 b,1.3300000000,3657.00
HD 112570 b,3.9000000000,4750.00
HD 112640 b,1.7000000000,4155.00
HD 113337 b,1.0220000000,6774.00
HD 113337 c,6.8050000000,6774.00
HD 11343 c,0.9230000000,4672.00
HD 113538 b,1.2400000000,4462.00
HD 113538 c,2.4400000000,4462.00
HD 113996 b,1.6000000000,4181.00
HD 114082 b,0.5109000000,6651.00
HD 114386 b,1.7300000000,4836.00
HD 114386 c,1.0500000000,4895.00
HD 114729 b,2.0670000000,5844.00
HD 114783 b,1.1600000000,5135.00
HD 114783 c,5.0000000000,5135.00
HD 11505 b,20.2470000000,5757.15
HD 11506 b,2.8850000000,6123.00
HD 11506 c,0.7710000000,6123.00
HD 11506 d,18.2000000000,6123.00
HD 115404 A b,0.0880000000,5019.17
HD 115404 A c,11.3640000000,5019.17
HD 115954 b,5.0000000000,5957.00
HD 116029 b,1.6500000000,4819.00
HD 116029 c,,4951.00
HD 117207 b,3.7870000000,5732.00
HD 11755 b,1.0900000000,4312.00
HD 117618 b,0.1800000000,5990.00
HD 118203 b,0.0713000000,5742.00
HD 118203 c,6.2800000000,5742.00
HD 11964 b,3.1600000000,5303.00
HD 11964 c,0.2290000000,5303.00
HD 11977 b,1.9300000000,4970.00
HD 120084 b,4.2100000000,4879.00
HD 121504 b,0.3300000000,6027.00
HD 12235 b,0.0540000000,5986.00
HD 12235 c,22.2100000000,5986.00
HD 122562 c,0.4060000000,4956.00
HD 124330 b,0.8600000000,5873.00
HD 12484 b,0.2970000000,5920.00
HD 125271 b,10.8170000000,4703.93
HD 125390 b,3.4960000000,4882.00
HD 125595 b,0.0800000000,4691.00
HD 125612 b,1.3490000000,5900.00
HD 125612 c,0.0510000000,5900.00
HD 125612 d,3.9820000000,5900.00
HD 12648 b,0.5400000000,4835.00
HD 126525 b,1.8370000000,5638.00
HD 12661 b,0.8400000000,5645.00
HD 12661 c,2.8145000000,5748.00
HD 126614 b,2.2490000000,5568.00
HD 127506 b,0.2870000000,4595.32
HD 128311 b,1.0840000000,4965.00
HD 128311 c,1.7400000000,4965.00
HD 128356 b,0.8700000000,4875.00
HD 128717 b,4.8500000000,6210.00
HD 129445 b,2.9000000000,5646.00
HD 130322 b,0.0925000000,5387.00
HD 131496 b,2.0100000000,4846.00
HD 13167 b,4.1000000000,5671.00
HD 13189 b,1.2500000000,4175.00
HD 132406 b,1.9800000000,5766.00
HD 132563 b,2.6200000000,6289.00
HD 133131 A b,1.4400000000,5799.00
HD 133131 A c,4.4900000000,5799.00
HD 133131 B b,6.1500000000,5805.00
HD 134060 b,0.0444000000,5966.00
HD 134060 c,2.3928000000,5966.00
HD 134606 b,0.1046000000,5576.00
